,Premature_Death_Total,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Severe_Housing_Problems
Premature_Death_AIAN,0.2991807118933121,0.0823669811934666,0.18074091824986308,0.08613061623964605,0.060995597733562966,-0.0219413407896286,-0.0772321365125699,0.010098295853662608,0.08747222956472173,0.047286302821623015
Premature_Death_Asian,0.05065324354120089,0.06410915525615317,0.04466452764515792,0.06715982224903744,0.034569146720004655,-0.03339203486658581,-0.0649359369384282,0.0669863113626646,0.05531069310828786,0.06306674299412122
Premature_Death_Black,0.4147928221416279,0.30609262367334444,0.3467211707015444,0.3252676348463916,0.10634406650889681,-0.07978365664934135,-0.24039704552555816,0.14499012689475255,0.3633432575706498,-0.03733672879780872
Premature_Death_Hispanic,0.2457219888494066,0.21543833760418366,0.0970309838471937,0.11485003620774122,0.2081646879532556,-0.068751664597858,-0.1732813317860226,0.08056934640756283,0.21335331699790216,0.03407490328082041
Premature_Death_White,0.7774073572170523,0.6571769902544199,0.5833300410773501,0.47851676576756336,0.33576767469997026,-0.28524629184350164,-0.5905851860078715,0.3242337015828889,0.6588853639192109,0.006096667714302169
Premature_Death_NHOPI,0.007145351731555571,0.015446571294560537,0.00011526956520172388,0.0036099199939989197,0.04501140188379205,0.013943856148152193,0.00984187984542806,0.004134347725891316,-0.004720082279833113,0.0036925420283396263
